name,countrycode
Afghanistan,004
Albania,008
Algeria,012
American Samoa,016
Andorra,020
Angola,024
Anguila,660
Antarctica,010
Antigua and Barbuda,028
Argentina,032
Armenia,051
Aruba,533
Australia,036
Austria,040
Azerbaijan,031
"Bahamas, The",044
Bahrain,048
Bangladesh,050
Barbados,052
Belarus,112
Belgium,056
Belgium-Luxembourg,058
Belize,084
Benin,204
Bermuda,060
Bhutan,064
Bolivia,068
Bonaire,535
Bosnia and Herzegovina,070
Botswana,072
Bouvet Island,074
Br. Antr. Terr,080
Brazil,076
British Indian Ocean Ter.,086
British Virgin Islands,092
Brunei,096
Bulgaria,100
Bunkers,837
Burkina Faso,854
Burundi,108
Cambodia,116
Cameroon,120
Canada,124
Cape Verde,132
Cayman Islands,136
Central African Republic,140
Chad,148
Chile,152
China,156
Christmas Island,162
Cocos (Keeling) Islands,166
Colombia,170
Comoros,174
"Congo, Dem. Rep.",180
"Congo, Rep.",178
Cook Islands,184
Costa Rica,188
Cote d'Ivoire,384
Croatia,191
Cuba,192
Curaçao,531
Cyprus,196
Czech Republic,203
Czechoslovakia,200
Denmark,208
Djibouti,262
Dominica,212
Dominican Republic,214
East Asia & Pacific,EAS
East Timor,626
Ecuador,218
"Egypt, Arab Rep.",818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Estonia,233
Eswatini,748
Ethiopia(excludes Eritrea),231
Ethiopia(includes Eritrea),230
Europe & Central Asia,ECS
Faeroe Islands,234
Falkland Island,238
Fiji,242
Finland,246
Fm Sudan,736
Fr. So. Ant. Tr,260
France,250
Free Zones,838
French Guiana,254
French Polynesia,258
Gabon,266
"Gambia, The",270
Georgia,268
German Democratic Republic,278
Germany,276
Ghana,288
Gibraltar,292
Greece,300
Greenland,304
Grenada,308
Guadeloupe,312
Guam,316
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Heard Island and McDonald Isla,334
Holy See,336
Honduras,340
"Hong Kong, China",344
Hungary,348
Iceland,352
India,356
Indonesia,360
"Iran, Islamic Rep.",364
Iraq,368
Ireland,372
Israel,376
Italy,380
Jamaica,388
Japan,392
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
"Korea, Dem. Rep.",408
"Korea, Rep.",410
Kuwait,414
Kyrgyz Republic,417
Lao PDR,418
Latin America & Caribbean,LCN
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libya,434
Lithuania,440
Luxembourg,442
Macao,446
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Marshall Islands,584
Martinique,474
Mauritania,478
Mauritius,480
Mayotte,175
Mexico,484
"Micronesia, Fed. Sts.",583
Middle East & North Africa,MEA
Moldova,498
Monaco,492
Mongolia,496
Montenegro,499
Montserrat,500
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Netherlands,528
Netherlands Antilles,530
Neutral Zone,536
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Niue,570
Norfolk Island,574
North America,NAC
North Macedonia,807
Northern Mariana Islands,580
Norway,578
Not Applicable,999
Occ.Pal.Terr,275
Oman,512
"Other Asia, nes",490
Pacific Islands,582
Pakistan,586
Palau,585
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Pitcairn,612
Poland,616
Portugal,620
Qatar,634
Reunion,638
Romania,642
Russian Federation,643
Rwanda,646
Saint Barthélemy,652
Saint Helena,654
Saint Maarten (Dutch part),534
Saint Pierre and Miquelon,666
Samoa,882
San Marino,674
Sao Tome and Principe,678
Saudi Arabia,682
Senegal,686
"Serbia, FR(Serbia/Montenegro)",891
Seychelles,690
Sierra Leone,694
Singapore,702
Slovak Republic,703
Slovenia,705
Solomon Islands,090
Somalia,706
South Africa,710
South Asia,SAS
South Georgia and the South Sa,239
South Sudan,728
Soviet Union,810
Spain,724
Special Categories,839
Sri Lanka,144
St. Kitts and Nevis,659
St. Lucia,662
St. Vincent and the Grenadines,670
Sub-Saharan Africa,SSF
Sudan,729
Suriname,740
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Tajikistan,762
Tanzania,834
Thailand,764
Togo,768
Tokelau,772
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Turks and Caicos Isl.,796
Tuvalu,798
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom,826
United States,840
United States Minor Outlying I,581
Unspecified,898
Uruguay,858
Us Msc.Pac.I,849
Uzbekistan,860
Vanuatu,548
Venezuela,862
Vietnam,704
Wallis and Futura Isl.,876
Western Sahara,732
World,000
Yemen,887
Yemen Democratic,720
"Yugoslavia,FR(Serbia/Montenegr",890
Zambia,894
Zimbabwe,716
